AccountingDate,Date,CoinIn,Games
1/1/2023,1/1/23 6:00 AM,163233.19,81437
1/1/2023,1/1/23 7:00 AM,145860.05,78357
1/1/2023,1/1/23 8:00 AM,165887.92,96927
1/1/2023,1/1/23 9:00 AM,257417.46,143457
1/1/2023,1/1/23 10:00 AM,330261.45,193221
1/1/2023,1/1/23 11:00 AM,448022.5,247935
1/1/2023,1/1/23 12:00 PM,573284.25,315700
1/1/2023,1/1/23 1:00 PM,626633.31,363535
1/1/2023,1/1/23 2:00 PM,855875.97,410190
1/1/2023,1/1/23 3:00 PM,860623.69,438312
1/1/2023,1/1/23 4:00 PM,890608.47,474713
1/1/2023,1/1/23 5:00 PM,903297.03,499977
1/1/2023,1/1/23 6:00 PM,841908.79,544717
1/1/2023,1/1/23 7:00 PM,1030029.62,563122
1/1/2023,1/1/23 8:00 PM,999936.74,573603
1/1/2023,1/1/23 9:00 PM,849110.76,518338
1/1/2023,1/1/23 10:00 PM,874439.97,489503
1/1/2023,1/1/23 11:00 PM,783958.73,445702
1/1/2023,1/2/23 12:00 AM,700033.8,358169
1/1/2023,1/2/23 1:00 AM,571217.4,274777
1/1/2023,1/2/23 2:00 AM,360957.83,199078
1/1/2023,1/2/23 3:00 AM,249285.46,131982
1/1/2023,1/2/23 4:00 AM,179982.61,91569
1/1/2023,1/2/23 5:00 AM,175292.5,82099
1/2/2023,1/2/23 6:00 AM,126734.4,45060
1/2/2023,1/2/23 7:00 AM,113148.29,48942
1/2/2023,1/2/23 8:00 AM,131341,66385
1/2/2023,1/2/23 9:00 AM,193963.74,102159
1/2/2023,1/2/23 10:00 AM,285448.38,180131
1/2/2023,1/2/23 11:00 AM,377270.41,257664
1/2/2023,1/2/23 12:00 PM,476244.22,320330
1/2/2023,1/2/23 1:00 PM,655467.25,404694
1/2/2023,1/2/23 2:00 PM,752911.89,448756
1/2/2023,1/2/23 3:00 PM,734129.71,440513
1/2/2023,1/2/23 4:00 PM,823858.02,461165
1/2/2023,1/2/23 5:00 PM,843129.82,455311
1/2/2023,1/2/23 6:00 PM,775229.01,431138
1/2/2023,1/2/23 7:00 PM,663390.6,407053
1/2/2023,1/2/23 8:00 PM,642035.24,394578
1/2/2023,1/2/23 9:00 PM,589078.62,370678
1/2/2023,1/2/23 10:00 PM,511670,313142
1/2/2023,1/2/23 11:00 PM,455323.21,252189
1/2/2023,1/3/23 12:00 AM,353601.22,184736
1/2/2023,1/3/23 1:00 AM,295486.97,151627
1/2/2023,1/3/23 2:00 AM,235875.68,132143
1/2/2023,1/3/23 3:00 AM,219336.95,108962
1/2/2023,1/3/23 4:00 AM,177984.15,84569
1/2/2023,1/3/23 5:00 AM,145289.6,75770
1/3/2023,1/3/23 6:00 AM,62467.52,38404
1/3/2023,1/3/23 7:00 AM,59837.41,35858
1/3/2023,1/3/23 8:00 AM,79477.56,55772
1/3/2023,1/3/23 9:00 AM,152743.06,106235
1/3/2023,1/3/23 10:00 AM,297892.38,211369
1/3/2023,1/3/23 11:00 AM,495259.1,343786
1/3/2023,1/3/23 12:00 PM,593934.33,430437
1/3/2023,1/3/23 1:00 PM,639773.29,483949
1/3/2023,1/3/23 2:00 PM,711542.6,492148
1/3/2023,1/3/23 3:00 PM,780828.26,513108
1/3/2023,1/3/23 4:00 PM,767941.84,518611
1/3/2023,1/3/23 5:00 PM,893761.99,533270
1/3/2023,1/3/23 6:00 PM,891326.21,503036
1/3/2023,1/3/23 7:00 PM,873851.15,498471
1/3/2023,1/3/23 8:00 PM,829777.32,459955
1/3/2023,1/3/23 9:00 PM,719144.51,412170
1/3/2023,1/3/23 10:00 PM,592578.65,340357
1/3/2023,1/3/23 11:00 PM,506926.71,273622
1/3/2023,1/4/23 12:00 AM,350674.74,206028
1/3/2023,1/4/23 1:00 AM,282074.76,146306
1/3/2023,1/4/23 2:00 AM,221772.26,113199
1/3/2023,1/4/23 3:00 AM,180891.61,80800
1/3/2023,1/4/23 4:00 AM,113827.85,47572
1/3/2023,1/4/23 5:00 AM,117429.57,54579
1/4/2023,1/4/23 6:00 AM,63211.85,27212
1/4/2023,1/4/23 7:00 AM,72566.18,36771
1/4/2023,1/4/23 8:00 AM,85214.8,45733
1/4/2023,1/4/23 9:00 AM,115871.05,74136
1/4/2023,1/4/23 10:00 AM,195502.92,132784
1/4/2023,1/4/23 11:00 AM,311221.06,195395
1/4/2023,1/4/23 12:00 PM,410584.6,250734
1/4/2023,1/4/23 1:00 PM,487846.62,310886
1/4/2023,1/4/23 2:00 PM,531872.85,339382
1/4/2023,1/4/23 3:00 PM,634722.12,337357
1/4/2023,1/4/23 4:00 PM,666993.56,351207
1/4/2023,1/4/23 5:00 PM,748296.5,357629
1/4/2023,1/4/23 6:00 PM,765632.26,369619
1/4/2023,1/4/23 7:00 PM,745947.42,403728
1/4/2023,1/4/23 8:00 PM,707803.9,392071
1/4/2023,1/4/23 9:00 PM,615074.33,355322
1/4/2023,1/4/23 10:00 PM,598872.05,305240
1/4/2023,1/4/23 11:00 PM,507850.17,243644
1/4/2023,1/5/23 12:00 AM,495853.55,210315
1/4/2023,1/5/23 1:00 AM,321740.92,154764
1/4/2023,1/5/23 2:00 AM,273093.38,120580
1/4/2023,1/5/23 3:00 AM,152847.9,89538
1/4/2023,1/5/23 4:00 AM,130280,60000
1/4/2023,1/5/23 5:00 AM,93789.49,56149
1/5/2023,1/5/23 6:00 AM,56447.6,27624
1/5/2023,1/5/23 7:00 AM,80680.46,33189
1/5/2023,1/5/23 8:00 AM,72478.19,47866
1/5/2023,1/5/23 9:00 AM,119227.37,74841
1/5/2023,1/5/23 10:00 AM,199025.64,125051
1/5/2023,1/5/23 11:00 AM,288382.9,187327
1/5/2023,1/5/23 12:00 PM,349590.97,225783
1/5/2023,1/5/23 1:00 PM,385862.98,264654
1/5/2023,1/5/23 2:00 PM,445216.27,303904
1/5/2023,1/5/23 3:00 PM,434419.35,299734
1/5/2023,1/5/23 4:00 PM,468843.97,311911
1/5/2023,1/5/23 5:00 PM,520709.89,333209
1/5/2023,1/5/23 6:00 PM,489528.71,333537
1/5/2023,1/5/23 7:00 PM,487884.45,339801
1/5/2023,1/5/23 8:00 PM,503205,320269
1/5/2023,1/5/23 9:00 PM,479198.3,303199
1/5/2023,1/5/23 10:00 PM,471696.9,262793
1/5/2023,1/5/23 11:00 PM,450176.77,234499
1/5/2023,1/6/23 12:00 AM,408636.13,190062
1/5/2023,1/6/23 1:00 AM,368946.48,152862
1/5/2023,1/6/23 2:00 AM,255056.73,98763
1/5/2023,1/6/23 3:00 AM,203002.56,73743
1/5/2023,1/6/23 4:00 AM,148006.93,56400
1/5/2023,1/6/23 5:00 AM,164381.02,54315
1/6/2023,1/6/23 6:00 AM,97375.83,32026
1/6/2023,1/6/23 7:00 AM,123876.35,43554
1/6/2023,1/6/23 8:00 AM,118346.63,60338
1/6/2023,1/6/23 9:00 AM,165136.04,86357
1/6/2023,1/6/23 10:00 AM,228611.53,125378
1/6/2023,1/6/23 11:00 AM,294225.7,188215
1/6/2023,1/6/23 12:00 PM,413705.08,249226
1/6/2023,1/6/23 1:00 PM,571739.71,305336
1/6/2023,1/6/23 2:00 PM,564008.44,320482
1/6/2023,1/6/23 3:00 PM,718552.87,358064
1/6/2023,1/6/23 4:00 PM,795858.09,377121
1/6/2023,1/6/23 5:00 PM,928660.55,400695
1/6/2023,1/6/23 6:00 PM,952697.82,446482
1/6/2023,1/6/23 7:00 PM,919399.13,481622
1/6/2023,1/6/23 8:00 PM,1036583.42,494555
1/6/2023,1/6/23 9:00 PM,958502.12,474708
1/6/2023,1/6/23 10:00 PM,889901.02,471711
1/6/2023,1/6/23 11:00 PM,816212.69,445284
1/6/2023,1/7/23 12:00 AM,725198.37,368384
1/6/2023,1/7/23 1:00 AM,563446.86,301836
1/6/2023,1/7/23 2:00 AM,450920.83,218820
1/6/2023,1/7/23 3:00 AM,325305.19,161129
1/6/2023,1/7/23 4:00 AM,214746.38,113204
1/6/2023,1/7/23 5:00 AM,186509.91,98160
1/7/2023,1/7/23 6:00 AM,104610.45,53229
1/7/2023,1/7/23 7:00 AM,113247.05,60270
1/7/2023,1/7/23 8:00 AM,138659.64,80931
1/7/2023,1/7/23 9:00 AM,165056.1,111541
1/7/2023,1/7/23 10:00 AM,223902.93,138868
1/7/2023,1/7/23 11:00 AM,316809.3,193100
1/7/2023,1/7/23 12:00 PM,375519.07,237028
1/7/2023,1/7/23 1:00 PM,470511.39,279668
1/7/2023,1/7/23 2:00 PM,529528.73,317949
1/7/2023,1/7/23 3:00 PM,582206.77,342373
1/7/2023,1/7/23 4:00 PM,628127.96,386186
1/7/2023,1/7/23 5:00 PM,636896.51,403969
1/7/2023,1/7/23 6:00 PM,615250.64,389156
1/7/2023,1/7/23 7:00 PM,805309.01,456468
1/7/2023,1/7/23 8:00 PM,807579.6,462412
1/7/2023,1/7/23 9:00 PM,855493.34,481106
1/7/2023,1/7/23 10:00 PM,846277.3,438064
1/7/2023,1/7/23 11:00 PM,822617.38,421919
1/7/2023,1/8/23 12:00 AM,864955.7,406349
1/7/2023,1/8/23 1:00 AM,691306.74,349723
1/7/2023,1/8/23 2:00 AM,633855.54,275035
1/7/2023,1/8/23 3:00 AM,447701.19,202971
1/7/2023,1/8/23 4:00 AM,283811.9,147252
1/7/2023,1/8/23 5:00 AM,165448.65,99083
1/8/2023,1/8/23 6:00 AM,100609.51,45202
1/8/2023,1/8/23 7:00 AM,108602.36,57497
1/8/2023,1/8/23 8:00 AM,128446.79,67822
1/8/2023,1/8/23 9:00 AM,177889.85,94105
1/8/2023,1/8/23 10:00 AM,259931.93,164871
1/8/2023,1/8/23 11:00 AM,407624.16,237912
1/8/2023,1/8/23 12:00 PM,524912.72,299537
1/8/2023,1/8/23 1:00 PM,640188.88,343621
1/8/2023,1/8/23 2:00 PM,688479.66,379094
1/8/2023,1/8/23 3:00 PM,699833.99,397928
1/8/2023,1/8/23 4:00 PM,688431.13,376639
1/8/2023,1/8/23 5:00 PM,754760.37,373011
1/8/2023,1/8/23 6:00 PM,672608.16,338038
1/8/2023,1/8/23 7:00 PM,602424.54,319079
1/8/2023,1/8/23 8:00 PM,543009.71,310521
1/8/2023,1/8/23 9:00 PM,502604.66,293295
1/8/2023,1/8/23 10:00 PM,486419.17,263582
1/8/2023,1/8/23 11:00 PM,425984.38,218445
1/8/2023,1/9/23 12:00 AM,354196.15,178703
1/8/2023,1/9/23 1:00 AM,275278.02,150354
1/8/2023,1/9/23 2:00 AM,195280.67,100412
1/8/2023,1/9/23 3:00 AM,103930.12,63639
1/8/2023,1/9/23 4:00 AM,80995.74,44026
1/8/2023,1/9/23 5:00 AM,67818.73,40008
1/9/2023,1/9/23 6:00 AM,33222.35,21559
1/9/2023,1/9/23 7:00 AM,57640.99,29951
1/9/2023,1/9/23 8:00 AM,77867.16,43341
1/9/2023,1/9/23 9:00 AM,117095,61248
1/9/2023,1/9/23 10:00 AM,164881.06,93761
1/9/2023,1/9/23 11:00 AM,257324.18,134694
1/9/2023,1/9/23 12:00 PM,347862.11,165577
1/9/2023,1/9/23 1:00 PM,360863.63,191261
1/9/2023,1/9/23 2:00 PM,447847.66,199158
1/9/2023,1/9/23 3:00 PM,443419.55,209144
1/9/2023,1/9/23 4:00 PM,445769.85,221540
1/9/2023,1/9/23 5:00 PM,515943.66,237321
1/9/2023,1/9/23 6:00 PM,499108.16,250225
1/9/2023,1/9/23 7:00 PM,543655.15,265782
1/9/2023,1/9/23 8:00 PM,489884.4,239295
1/9/2023,1/9/23 9:00 PM,396883.31,218065
1/9/2023,1/9/23 10:00 PM,338166,180754
1/9/2023,1/9/23 11:00 PM,285651.32,149312
1/9/2023,1/10/23 12:00 AM,180178.65,115715
1/9/2023,1/10/23 1:00 AM,151387.24,86349
1/9/2023,1/10/23 2:00 AM,132242.56,65269
1/9/2023,1/10/23 3:00 AM,109799.89,48050
1/9/2023,1/10/23 4:00 AM,77117.15,39684
1/9/2023,1/10/23 5:00 AM,84383.04,41565
1/10/2023,1/10/23 6:00 AM,31147.13,15790
1/10/2023,1/10/23 7:00 AM,54073.6,22701
1/10/2023,1/10/23 8:00 AM,64887.65,40815
1/10/2023,1/10/23 9:00 AM,115372.73,75564
1/10/2023,1/10/23 10:00 AM,184597.35,119785
1/10/2023,1/10/23 11:00 AM,265373.25,177868
1/10/2023,1/10/23 12:00 PM,308733.45,211459
1/10/2023,1/10/23 1:00 PM,418681,247605
1/10/2023,1/10/23 2:00 PM,542449.49,250539
1/10/2023,1/10/23 3:00 PM,499101.54,237270
1/10/2023,1/10/23 4:00 PM,591777.17,268056
1/10/2023,1/10/23 5:00 PM,567921.21,292223
1/10/2023,1/10/23 6:00 PM,496932.4,310196
1/10/2023,1/10/23 7:00 PM,544714.19,319096
1/10/2023,1/10/23 8:00 PM,564703.15,296134
1/10/2023,1/10/23 9:00 PM,560569.77,283652
1/10/2023,1/10/23 10:00 PM,562508.49,241891
1/10/2023,1/10/23 11:00 PM,483705.04,195066
1/10/2023,1/11/23 12:00 AM,390055.78,162862
1/10/2023,1/11/23 1:00 AM,319913.61,112816
1/10/2023,1/11/23 2:00 AM,227883.6,86988
1/10/2023,1/11/23 3:00 AM,199410.01,63637
1/10/2023,1/11/23 4:00 AM,118301.22,48885
1/10/2023,1/11/23 5:00 AM,82643.8,43896
1/11/2023,1/11/23 6:00 AM,33276.93,18276
1/11/2023,1/11/23 7:00 AM,33554.21,20738
1/11/2023,1/11/23 8:00 AM,46646.87,32454
1/11/2023,1/11/23 9:00 AM,72534.36,52576
1/11/2023,1/11/23 10:00 AM,148098.71,99964
1/11/2023,1/11/23 11:00 AM,271638.57,153619
1/11/2023,1/11/23 12:00 PM,332529.12,209316
1/11/2023,1/11/23 1:00 PM,410545.29,248245
1/11/2023,1/11/23 2:00 PM,465238.96,278105
1/11/2023,1/11/23 3:00 PM,614319.17,300292
1/11/2023,1/11/23 4:00 PM,715473.9,323627
1/11/2023,1/11/23 5:00 PM,720368.07,353445
1/11/2023,1/11/23 6:00 PM,705126.77,381733
1/11/2023,1/11/23 7:00 PM,625813.6,367655
1/11/2023,1/11/23 8:00 PM,565417.46,325060
1/11/2023,1/11/23 9:00 PM,498357.36,288470
1/11/2023,1/11/23 10:00 PM,410878.47,232905
1/11/2023,1/11/23 11:00 PM,372517.4,196179
1/11/2023,1/12/23 12:00 AM,286172.03,151237
1/11/2023,1/12/23 1:00 AM,232005.12,120782
1/11/2023,1/12/23 2:00 AM,223558.17,98829
1/11/2023,1/12/23 3:00 AM,157736.12,71781
1/11/2023,1/12/23 4:00 AM,71621.22,45972
1/11/2023,1/12/23 5:00 AM,88235.74,48986
1/12/2023,1/12/23 6:00 AM,53059.02,27230
1/12/2023,1/12/23 7:00 AM,68604.15,31058
1/12/2023,1/12/23 8:00 AM,66743.54,38776
1/12/2023,1/12/23 9:00 AM,116404.05,78550
1/12/2023,1/12/23 10:00 AM,228963.31,147620
1/12/2023,1/12/23 11:00 AM,320171.49,207281
1/12/2023,1/12/23 12:00 PM,388862.7,256596
1/12/2023,1/12/23 1:00 PM,417881.17,289174
1/12/2023,1/12/23 2:00 PM,490327.33,296969
1/12/2023,1/12/23 3:00 PM,538019.75,299020
1/12/2023,1/12/23 4:00 PM,567974.86,310466
1/12/2023,1/12/23 5:00 PM,659415.74,314483
1/12/2023,1/12/23 6:00 PM,698655.79,341174
1/12/2023,1/12/23 7:00 PM,603189.23,375766
1/12/2023,1/12/23 8:00 PM,596373.74,338849
1/12/2023,1/12/23 9:00 PM,675709.51,330916
1/12/2023,1/12/23 10:00 PM,588914.33,310006
1/12/2023,1/12/23 11:00 PM,529844.71,280454
1/12/2023,1/13/23 12:00 AM,371790.95,209004
1/12/2023,1/13/23 1:00 AM,308348.5,161997
1/12/2023,1/13/23 2:00 AM,289596.44,114250
1/12/2023,1/13/23 3:00 AM,196439.39,82162
1/12/2023,1/13/23 4:00 AM,126525.3,64303
1/12/2023,1/13/23 5:00 AM,104169.85,56488
1/13/2023,1/13/23 6:00 AM,50504.54,29229
1/13/2023,1/13/23 7:00 AM,79578.27,39343
1/13/2023,1/13/23 8:00 AM,105919.17,53081
1/13/2023,1/13/23 9:00 AM,170665.44,83299
1/13/2023,1/13/23 10:00 AM,291771.94,132477
1/13/2023,1/13/23 11:00 AM,376078.81,203151
1/13/2023,1/13/23 12:00 PM,519873.38,260048
1/13/2023,1/13/23 1:00 PM,614008.96,286002
1/13/2023,1/13/23 2:00 PM,619482.21,317591
1/13/2023,1/13/23 3:00 PM,722029.62,337360
1/13/2023,1/13/23 4:00 PM,749545.79,354332
1/13/2023,1/13/23 5:00 PM,916307.3,414800
1/13/2023,1/13/23 6:00 PM,971998.56,456849
1/13/2023,1/13/23 7:00 PM,1036548.89,516984
1/13/2023,1/13/23 8:00 PM,1048958.67,503839
1/13/2023,1/13/23 9:00 PM,1025551.46,511186
1/13/2023,1/13/23 10:00 PM,940125.01,499462
1/13/2023,1/13/23 11:00 PM,854334.1,465357
1/13/2023,1/14/23 12:00 AM,795153.49,395991
1/13/2023,1/14/23 1:00 AM,662175.59,307010
1/13/2023,1/14/23 2:00 AM,544906.48,222886
1/13/2023,1/14/23 3:00 AM,374185.28,170761
1/13/2023,1/14/23 4:00 AM,216885.52,121558
1/13/2023,1/14/23 5:00 AM,182209.15,102708
1/14/2023,1/14/23 6:00 AM,85120.16,53089
1/14/2023,1/14/23 7:00 AM,105445.04,61822
1/14/2023,1/14/23 8:00 AM,122592.1,81023
1/14/2023,1/14/23 9:00 AM,176211.7,113986
1/14/2023,1/14/23 10:00 AM,252425.65,159009
1/14/2023,1/14/23 11:00 AM,333872.54,200893
1/14/2023,1/14/23 12:00 PM,475689.32,295366
1/14/2023,1/14/23 1:00 PM,622296.6,360727
1/14/2023,1/14/23 2:00 PM,706385.36,413900
1/14/2023,1/14/23 3:00 PM,834538.5,488754
1/14/2023,1/14/23 4:00 PM,855172.72,473365
1/14/2023,1/14/23 5:00 PM,921296.9,477701
1/14/2023,1/14/23 6:00 PM,878856.49,495313
1/14/2023,1/14/23 7:00 PM,981490.46,536949
1/14/2023,1/14/23 8:00 PM,1089513.9,550265
1/14/2023,1/14/23 9:00 PM,924667.32,501706
1/14/2023,1/14/23 10:00 PM,839821.65,464435
1/14/2023,1/14/23 11:00 PM,778152.38,445282
1/14/2023,1/15/23 12:00 AM,778018.69,404161
