AccountingDate,Date,TotalGames,Uncarded,Carded,Total,FloorStaff
1/1/2023,1/1/23 6:00 AM,2440,130,78,208,3
1/1/2023,1/1/23 7:00 AM,2440,92,41,133,4
1/1/2023,1/1/23 8:00 AM,2441,89,71,160,4
1/1/2023,1/1/23 9:00 AM,2441,105,115,220,6
1/1/2023,1/1/23 10:00 AM,2440,130,188,318,7
1/1/2023,1/1/23 11:00 AM,2440,188,246,434,9
1/1/2023,1/1/23 12:00 PM,2439,253,317,570,10
1/1/2023,1/1/23 1:00 PM,2439,261,371,632,13
1/1/2023,1/1/23 2:00 PM,2439,324,399,723,13
1/1/2023,1/1/23 3:00 PM,2439,365,447,812,13
1/1/2023,1/1/23 4:00 PM,2439,377,453,830,15
1/1/2023,1/1/23 5:00 PM,2438,449,492,941,12
1/1/2023,1/1/23 6:00 PM,2439,462,482,944,11
1/1/2023,1/1/23 7:00 PM,2440,466,568,1034,13
1/1/2023,1/1/23 8:00 PM,2439,498,563,1061,12
1/1/2023,1/1/23 9:00 PM,2439,497,469,966,13
1/1/2023,1/1/23 10:00 PM,2437,468,453,921,13
1/1/2023,1/1/23 11:00 PM,2439,449,389,838,11
1/1/2023,1/2/23 12:00 AM,2438,400,345,745,8
1/1/2023,1/2/23 1:00 AM,2439,292,262,554,7
1/1/2023,1/2/23 2:00 AM,2439,243,183,426,4
1/1/2023,1/2/23 3:00 AM,2440,167,105,272,3
1/1/2023,1/2/23 4:00 AM,2439,104,74,178,2
1/1/2023,1/2/23 5:00 AM,2427,81,53,134,2
1/2/2023,1/2/23 6:00 AM,2419,56,41,97,2
1/2/2023,1/2/23 7:00 AM,2418,44,41,85,2
1/2/2023,1/2/23 8:00 AM,2414,65,53,118,3
1/2/2023,1/2/23 9:00 AM,2418,79,69,148,4
1/2/2023,1/2/23 10:00 AM,2414,105,143,248,6
1/2/2023,1/2/23 11:00 AM,2414,170,270,440,6
1/2/2023,1/2/23 12:00 PM,2414,213,312,525,6
1/2/2023,1/2/23 1:00 PM,2414,288,417,705,9
1/2/2023,1/2/23 2:00 PM,2415,383,454,837,9
1/2/2023,1/2/23 3:00 PM,2413,373,467,840,10
1/2/2023,1/2/23 4:00 PM,2417,398,447,845,10
1/2/2023,1/2/23 5:00 PM,2420,397,461,858,11
1/2/2023,1/2/23 6:00 PM,2422,367,405,772,11
1/2/2023,1/2/23 7:00 PM,2422,363,411,774,13
1/2/2023,1/2/23 8:00 PM,2426,332,384,716,11
1/2/2023,1/2/23 9:00 PM,2425,312,397,709,12
1/2/2023,1/2/23 10:00 PM,2425,302,311,613,12
1/2/2023,1/2/23 11:00 PM,2425,278,245,523,11
1/2/2023,1/3/23 12:00 AM,2425,211,168,379,8
1/2/2023,1/3/23 1:00 AM,2426,163,116,279,6
1/2/2023,1/3/23 2:00 AM,2424,153,102,255,3
1/2/2023,1/3/23 3:00 AM,2417,140,69,209,3
1/2/2023,1/3/23 4:00 AM,2417,96,64,160,2
1/2/2023,1/3/23 5:00 AM,2413,86,36,122,2
1/3/2023,1/3/23 6:00 AM,2412,65,28,93,2
1/3/2023,1/3/23 7:00 AM,2412,46,30,76,2
1/3/2023,1/3/23 8:00 AM,2412,48,31,79,1
1/3/2023,1/3/23 9:00 AM,2412,60,69,129,4
1/3/2023,1/3/23 10:00 AM,2412,111,175,286,4
1/3/2023,1/3/23 11:00 AM,2418,180,373,553,5
1/3/2023,1/3/23 12:00 PM,2418,263,473,736,6
1/3/2023,1/3/23 1:00 PM,2417,295,577,872,8
1/3/2023,1/3/23 2:00 PM,2417,346,582,928,8
1/3/2023,1/3/23 3:00 PM,2417,346,570,916,8
1/3/2023,1/3/23 4:00 PM,2418,369,561,930,8
1/3/2023,1/3/23 5:00 PM,2418,356,574,930,9
1/3/2023,1/3/23 6:00 PM,2416,389,541,930,12
1/3/2023,1/3/23 7:00 PM,2417,381,514,895,12
1/3/2023,1/3/23 8:00 PM,2417,368,482,850,13
1/3/2023,1/3/23 9:00 PM,2417,351,420,771,13
1/3/2023,1/3/23 10:00 PM,2418,278,374,652,13
1/3/2023,1/3/23 11:00 PM,2419,231,282,513,12
1/3/2023,1/4/23 12:00 AM,2419,216,196,412,8
1/3/2023,1/4/23 1:00 AM,2418,174,141,315,6
1/3/2023,1/4/23 2:00 AM,2418,136,89,225,4
1/3/2023,1/4/23 3:00 AM,2418,116,69,185,3
1/3/2023,1/4/23 4:00 AM,2418,64,30,94,2
1/3/2023,1/4/23 5:00 AM,2418,61,33,94,2
1/4/2023,1/4/23 6:00 AM,2416,37,23,60,2
1/4/2023,1/4/23 7:00 AM,2418,41,27,68,2
1/4/2023,1/4/23 8:00 AM,2425,46,31,77,4
1/4/2023,1/4/23 9:00 AM,2432,56,49,105,5
1/4/2023,1/4/23 10:00 AM,2438,78,122,200,6
1/4/2023,1/4/23 11:00 AM,2435,137,189,326,6
1/4/2023,1/4/23 12:00 PM,2439,172,263,435,6
1/4/2023,1/4/23 1:00 PM,2438,205,320,525,9
1/4/2023,1/4/23 2:00 PM,2438,284,373,657,9
1/4/2023,1/4/23 3:00 PM,2436,275,347,622,9
1/4/2023,1/4/23 4:00 PM,2436,284,362,646,9
1/4/2023,1/4/23 5:00 PM,2436,329,358,687,10
1/4/2023,1/4/23 6:00 PM,2436,336,345,681,12
1/4/2023,1/4/23 7:00 PM,2436,336,387,723,12
1/4/2023,1/4/23 8:00 PM,2436,347,356,703,11
1/4/2023,1/4/23 9:00 PM,2437,371,340,711,12
1/4/2023,1/4/23 10:00 PM,2438,299,310,609,12
1/4/2023,1/4/23 11:00 PM,2438,286,234,520,11
1/4/2023,1/5/23 12:00 AM,2438,226,193,419,7
1/4/2023,1/5/23 1:00 AM,2437,179,128,307,5
1/4/2023,1/5/23 2:00 AM,2437,158,97,255,5
