AccountingDate,Date,Tables,OpenTables,HeadCount
1/1/2023,1/1/23 6:00 AM,58,13,27
1/1/2023,1/1/23 7:00 AM,58,11,33
1/1/2023,1/1/23 8:00 AM,58,11,31
1/1/2023,1/1/23 9:00 AM,58,11,21
1/1/2023,1/1/23 10:00 AM,58,11,34
1/1/2023,1/1/23 11:00 AM,58,13,39
1/1/2023,1/1/23 12:00 PM,58,14,51
1/1/2023,1/1/23 1:00 PM,58,35,69
1/1/2023,1/1/23 2:00 PM,58,35,69
1/1/2023,1/1/23 3:00 PM,58,35,92
1/1/2023,1/1/23 4:00 PM,58,35,81
1/1/2023,1/1/23 5:00 PM,58,35,94
1/1/2023,1/1/23 6:00 PM,58,36,118
1/1/2023,1/1/23 7:00 PM,58,36,112
1/1/2023,1/1/23 8:00 PM,58,38,109
1/1/2023,1/1/23 9:00 PM,58,39,109
1/1/2023,1/1/23 10:00 PM,58,39,109
1/1/2023,1/1/23 11:00 PM,58,37,115
1/1/2023,1/2/23 12:00 AM,58,37,111
1/1/2023,1/2/23 1:00 AM,58,35,103
1/1/2023,1/2/23 2:00 AM,58,32,57
1/1/2023,1/2/23 3:00 AM,58,23,47
1/1/2023,1/2/23 4:00 AM,58,15,27
1/1/2023,1/2/23 5:00 AM,58,14,22
1/2/2023,1/2/23 6:00 AM,58,11,26
1/2/2023,1/2/23 7:00 AM,58,11,18
1/2/2023,1/2/23 8:00 AM,58,11,16
1/2/2023,1/2/23 9:00 AM,58,12,23
1/2/2023,1/2/23 10:00 AM,58,12,29
1/2/2023,1/2/23 11:00 AM,58,13,26
1/2/2023,1/2/23 12:00 PM,58,14,46
1/2/2023,1/2/23 1:00 PM,58,27,63
1/2/2023,1/2/23 2:00 PM,58,29,70
1/2/2023,1/2/23 3:00 PM,58,29,82
1/2/2023,1/2/23 4:00 PM,58,29,71
1/2/2023,1/2/23 5:00 PM,58,30,79
1/2/2023,1/2/23 6:00 PM,58,30,81
1/2/2023,1/2/23 7:00 PM,58,31,82
1/2/2023,1/2/23 8:00 PM,58,33,81
1/2/2023,1/2/23 9:00 PM,58,36,82
1/2/2023,1/2/23 10:00 PM,58,34,81
1/2/2023,1/2/23 11:00 PM,57,33,69
1/2/2023,1/3/23 12:00 AM,57,33,65
1/2/2023,1/3/23 1:00 AM,57,31,64
1/2/2023,1/3/23 2:00 AM,58,25,49
1/2/2023,1/3/23 3:00 AM,58,18,34
1/2/2023,1/3/23 4:00 AM,58,14,28
1/2/2023,1/3/23 5:00 AM,58,14,23
1/3/2023,1/3/23 6:00 AM,58,12,18
1/3/2023,1/3/23 7:00 AM,58,12,17
1/3/2023,1/3/23 8:00 AM,58,11,13
1/3/2023,1/3/23 9:00 AM,58,11,17
1/3/2023,1/3/23 10:00 AM,58,11,22
1/3/2023,1/3/23 11:00 AM,58,14,17
1/3/2023,1/3/23 12:00 PM,58,14,38
1/3/2023,1/3/23 1:00 PM,58,25,70
1/3/2023,1/3/23 2:00 PM,58,27,73
1/3/2023,1/3/23 3:00 PM,58,27,71
1/3/2023,1/3/23 4:00 PM,58,28,81
1/3/2023,1/3/23 5:00 PM,58,29,84
1/3/2023,1/3/23 6:00 PM,58,30,103
1/3/2023,1/3/23 7:00 PM,58,30,106
1/3/2023,1/3/23 8:00 PM,58,30,111
1/3/2023,1/3/23 9:00 PM,58,33,99
1/3/2023,1/3/23 10:00 PM,58,33,101
1/3/2023,1/3/23 11:00 PM,58,33,106
1/3/2023,1/4/23 12:00 AM,58,31,75
1/3/2023,1/4/23 1:00 AM,58,29,67
1/3/2023,1/4/23 2:00 AM,58,24,52
1/3/2023,1/4/23 3:00 AM,58,19,41
1/3/2023,1/4/23 4:00 AM,58,16,31
1/3/2023,1/4/23 5:00 AM,58,14,14
1/4/2023,1/4/23 6:00 AM,58,10,9
1/4/2023,1/4/23 7:00 AM,58,10,7
1/4/2023,1/4/23 8:00 AM,58,10,6
1/4/2023,1/4/23 9:00 AM,58,10,7
1/4/2023,1/4/23 10:00 AM,58,11,13
1/4/2023,1/4/23 11:00 AM,58,12,23
1/4/2023,1/4/23 12:00 PM,58,12,30
1/4/2023,1/4/23 1:00 PM,58,26,42
1/4/2023,1/4/23 2:00 PM,58,26,51
1/4/2023,1/4/23 3:00 PM,58,26,56
1/4/2023,1/4/23 4:00 PM,57,25,60
1/4/2023,1/4/23 5:00 PM,57,26,77
1/4/2023,1/4/23 6:00 PM,57,27,65
1/4/2023,1/4/23 7:00 PM,57,28,83
1/4/2023,1/4/23 8:00 PM,57,28,100
1/4/2023,1/4/23 9:00 PM,58,38,114
1/4/2023,1/4/23 10:00 PM,58,38,117
1/4/2023,1/4/23 11:00 PM,58,38,119
1/4/2023,1/5/23 12:00 AM,58,37,94
1/4/2023,1/5/23 1:00 AM,58,32,94
1/4/2023,1/5/23 2:00 AM,58,24,74
1/4/2023,1/5/23 3:00 AM,58,16,42
1/4/2023,1/5/23 4:00 AM,58,14,35
1/4/2023,1/5/23 5:00 AM,58,14,25
1/5/2023,1/5/23 6:00 AM,58,12,23
1/5/2023,1/5/23 7:00 AM,58,12,12
1/5/2023,1/5/23 8:00 AM,58,11,14
1/5/2023,1/5/23 9:00 AM,58,11,12
1/5/2023,1/5/23 10:00 AM,58,11,12
1/5/2023,1/5/23 11:00 AM,58,12,17
1/5/2023,1/5/23 12:00 PM,58,13,32
1/5/2023,1/5/23 1:00 PM,58,27,47
1/5/2023,1/5/23 2:00 PM,58,28,71
1/5/2023,1/5/23 3:00 PM,58,29,59
1/5/2023,1/5/23 4:00 PM,58,29,73
1/5/2023,1/5/23 5:00 PM,58,29,73
1/5/2023,1/5/23 6:00 PM,58,29,67
1/5/2023,1/5/23 7:00 PM,58,29,86
1/5/2023,1/5/23 8:00 PM,58,30,73
1/5/2023,1/5/23 9:00 PM,56,36,97
1/5/2023,1/5/23 10:00 PM,56,37,98
1/5/2023,1/5/23 11:00 PM,57,38,108
1/5/2023,1/6/23 12:00 AM,58,36,83
1/5/2023,1/6/23 1:00 AM,58,31,62
1/5/2023,1/6/23 2:00 AM,58,25,45
1/5/2023,1/6/23 3:00 AM,58,15,45
1/5/2023,1/6/23 4:00 AM,58,14,33
1/5/2023,1/6/23 5:00 AM,58,13,22
1/6/2023,1/6/23 6:00 AM,58,12,18
1/6/2023,1/6/23 7:00 AM,58,12,15
1/6/2023,1/6/23 8:00 AM,58,13,8
1/6/2023,1/6/23 9:00 AM,58,12,19
1/6/2023,1/6/23 10:00 AM,58,12,21
1/6/2023,1/6/23 11:00 AM,58,12,37
1/6/2023,1/6/23 12:00 PM,58,13,33
1/6/2023,1/6/23 1:00 PM,58,31,48
1/6/2023,1/6/23 2:00 PM,58,31,69
1/6/2023,1/6/23 3:00 PM,58,31,69
1/6/2023,1/6/23 4:00 PM,58,31,72
1/6/2023,1/6/23 5:00 PM,58,31,68
1/6/2023,1/6/23 6:00 PM,58,34,67
1/6/2023,1/6/23 7:00 PM,58,34,78
1/6/2023,1/6/23 8:00 PM,58,34,85
1/6/2023,1/6/23 9:00 PM,58,44,103
1/6/2023,1/6/23 10:00 PM,58,43,144
1/6/2023,1/6/23 11:00 PM,58,42,118
1/6/2023,1/7/23 12:00 AM,58,42,124
1/6/2023,1/7/23 1:00 AM,58,39,96
1/6/2023,1/7/23 2:00 AM,58,29,76
1/6/2023,1/7/23 3:00 AM,58,16,67
1/6/2023,1/7/23 4:00 AM,58,16,66
1/6/2023,1/7/23 5:00 AM,58,16,37
1/7/2023,1/7/23 6:00 AM,58,14,37
1/7/2023,1/7/23 7:00 AM,58,13,28
1/7/2023,1/7/23 8:00 AM,58,13,27
1/7/2023,1/7/23 9:00 AM,58,13,15
1/7/2023,1/7/23 10:00 AM,58,13,30
1/7/2023,1/7/23 11:00 AM,58,14,33
1/7/2023,1/7/23 12:00 PM,58,15,48
1/7/2023,1/7/23 1:00 PM,58,34,66
1/7/2023,1/7/23 2:00 PM,58,34,66
1/7/2023,1/7/23 3:00 PM,58,33,81
1/7/2023,1/7/23 4:00 PM,58,33,94
1/7/2023,1/7/23 5:00 PM,58,33,91
1/7/2023,1/7/23 6:00 PM,58,35,89
1/7/2023,1/7/23 7:00 PM,58,36,91
1/7/2023,1/7/23 8:00 PM,58,35,95
1/7/2023,1/7/23 9:00 PM,58,39,113
1/7/2023,1/7/23 10:00 PM,58,44,136
1/7/2023,1/7/23 11:00 PM,58,44,121
1/7/2023,1/8/23 12:00 AM,58,44,123
1/7/2023,1/8/23 1:00 AM,58,44,106
1/7/2023,1/8/23 2:00 AM,58,37,97
1/7/2023,1/8/23 3:00 AM,58,25,67
1/7/2023,1/8/23 4:00 AM,58,17,61
1/7/2023,1/8/23 5:00 AM,58,13,45
1/8/2023,1/8/23 6:00 AM,58,12,37
1/8/2023,1/8/23 7:00 AM,58,12,26
1/8/2023,1/8/23 8:00 AM,58,10,14
1/8/2023,1/8/23 9:00 AM,58,10,21
1/8/2023,1/8/23 10:00 AM,58,10,29
1/8/2023,1/8/23 11:00 AM,58,13,33
1/8/2023,1/8/23 12:00 PM,58,16,33
1/8/2023,1/8/23 1:00 PM,58,31,46
1/8/2023,1/8/23 2:00 PM,58,31,65
1/8/2023,1/8/23 3:00 PM,58,31,73
1/8/2023,1/8/23 4:00 PM,58,31,89
