period,mape
2023-01-02 to 2023-01-15,0.17404305586632485
2023-01-16 to 2023-01-29,0.2412206746964281
2023-01-30 to 2023-02-12,0.13095432240068686
2023-02-13 to 2023-02-26,0.22009064602055867
2023-02-27 to 2023-03-12,0.28569642967911457
2023-03-13 to 2023-03-26,0.30769928254764367
2023-03-27 to 2023-04-09,0.1946346023478793
2023-04-10 to 2023-04-23,0.15989319908865676
2023-04-24 to 2023-05-07,0.11258122548737931
2023-05-08 to 2023-05-21,0.14939853744116807
2023-05-22 to 2023-06-04,0.11743470669494019
2023-06-05 to 2023-06-18,0.12978998322555307
2023-06-19 to 2023-07-02,0.2799231640167534
2023-07-03 to 2023-07-16,0.22517616201986193
2023-07-17 to 2023-07-30,0.13631062006224495
2023-07-31 to 2023-08-13,0.14091814637033576
2023-08-14 to 2023-08-27,0.1436404755576442
2023-08-28 to 2023-09-10,0.13897528114157975
2023-09-11 to 2023-09-24,0.1283221726399073
2023-09-25 to 2023-10-08,0.14597937165509775
