period,mape
2023-01-02 to 2023-01-15,0.20295203367631337
2023-01-16 to 2023-01-29,0.26783441244775147
2023-01-30 to 2023-02-12,0.1769375095642768
2023-02-13 to 2023-02-26,0.22928484113273104
2023-02-27 to 2023-03-12,0.28118880245320704
2023-03-13 to 2023-03-26,0.26431377862024835
2023-03-27 to 2023-04-09,0.19341865941414188
2023-04-10 to 2023-04-23,0.16060173131772523
2023-04-24 to 2023-05-07,0.14414539100561324
2023-05-08 to 2023-05-21,0.1715570062071721
2023-05-22 to 2023-06-04,0.13642704200618389
2023-06-05 to 2023-06-18,0.14307889490682724
2023-06-19 to 2023-07-02,0.2629661506375002
2023-07-03 to 2023-07-16,0.1967039977527597
2023-07-17 to 2023-07-30,0.13004284143084682
2023-07-31 to 2023-08-13,0.15938678580993768
2023-08-14 to 2023-08-27,0.1426031684736864
2023-08-28 to 2023-09-10,0.14974738089442863
2023-09-11 to 2023-09-24,0.12806541072740163
2023-09-25 to 2023-10-08,0.15813604968877798
2023-10-09 to 2023-10-22,0.4423901529540998
